Close,predicoes,variacao_percentual_acao,variacao_percentual_modelo,var_acao_maior_menor_que_zero,var_modelo_maior_menor_que_zero,acertou_o_lado,variacao_percentual_acao_abs
27.489999771118164,29.63403,-0.026902662969268576,-0.21572798,False,False,True,0.026902662969268576
27.959999084472656,27.62155,0.017097101392059333,-0.06791109,True,False,False,0.017097101392059333
28.600000381469727,27.649548,0.022889889769434513,0.0010136366,True,True,True,0.022889889769434513
29.18000030517578,28.241955,0.02027971734160694,0.021425605,True,True,True,0.02027971734160694
29.170000076293945,28.85618,-0.00034270831998794993,0.021748662,False,True,False,0.00034270831998794993
29.020000457763672,28.96596,-0.005142256364002451,0.003804326,False,True,False,0.005142256364002451
29.329999923706055,28.88914,0.01068226950559703,-0.0026521087,True,False,False,0.01068226950559703
30.700000762939453,29.226213,0.046709882127415,0.011667848,True,True,True,0.046709882127415
31.010000228881836,30.623213,0.010097702222750637,0.047799587,True,True,True,0.010097702222750637
31.350000381469727,31.188896,0.010964209934807512,0.018472314,True,True,True,0.010964209934807512
32.290000915527344,31.637785,0.02998406770716433,0.014392614,True,True,True,0.02998406770716433
34.150001525878906,32.638336,0.05760299032562566,0.03162515,True,True,True,0.05760299032562566
33.68000030517578,34.56242,-0.01376284625776536,0.058951616,False,True,False,0.01376284625776536
33.83000183105469,34.1726,0.004453726975051531,-0.0112787485,True,False,False,0.004453726975051531
33.849998474121094,34.350704,0.0005910919888880706,0.0052119493,True,True,True,0.0005910919888880706
34.209999084472656,34.372723,0.010635173606486026,0.00064098835,True,True,True,0.010635173606486026
34.869998931884766,34.685772,0.01929260055758597,0.0091074705,True,True,True,0.01929260055758597
36.630001068115234,35.275257,0.050473248928641024,0.016995072,True,True,True,0.050473248928641024
37.22999954223633,36.945976,0.016379974245847473,0.047362328,True,True,True,0.016379974245847473
37.11000061035156,37.458427,-0.0032231784410480246,0.013870239,False,True,False,0.0032231784410480246
36.25,37.32164,-0.023174362603262,-0.0036517382,False,False,True,0.023174362603262
31.709999084472656,36.506138,-0.12524140456627153,-0.021850646,False,False,True,0.12524140456627153
31.719999313354492,32.32584,0.0003153651583274186,-0.11450946,True,False,False,0.0003153651583274186
32.0099983215332,31.89163,0.009142465777312259,-0.013432264,True,False,False,0.009142465777312259
32.7599983215332,32.079197,0.02343017929793123,0.0058814287,True,True,True,0.02343017929793123
33.41999816894531,32.72594,0.020146516520981983,0.020160794,True,True,True,0.020146516520981983
31.729999542236328,33.36226,-0.050568483521922336,0.01944387,False,True,False,0.050568483521922336
32.40999984741211,31.843256,0.0214308324924688,-0.045530558,True,False,False,0.0214308324924688
33.439998626708984,32.32873,0.031780277202905216,0.015245795,True,True,True,0.031780277202905216
33.63999938964844,33.422695,0.005980884304813028,0.03383875,True,True,True,0.005980884304813028
33.279998779296875,33.736343,-0.010701564116625373,0.0093842745,False,True,False,0.010701564116625373
33.63999938964844,33.463345,0.010817326428975482,-0.008092105,True,False,False,0.010817326428975482
34.47999954223633,33.852753,0.02497027847290534,0.011636853,True,True,True,0.02497027847290534
32.43000030517578,34.732327,-0.05945473504282961,0.02598238,False,True,False,0.05945473504282961
33.22999954223633,32.853817,0.02466849304755847,-0.054085314,True,False,False,0.02466849304755847
33.849998474121094,33.5079,0.018657807415757732,0.019908905,True,True,True,0.018657807415757732
33.41999816894531,34.150127,-0.012703111508395648,0.01916647,False,True,False,0.012703111508395648
33.34000015258789,33.74921,-0.002393716958122294,-0.01173985,False,False,True,0.002393716958122294
32.099998474121094,33.632923,-0.03719261166141741,-0.0034456253,False,False,True,0.03719261166141741
31.799999237060547,32.457382,-0.009345771069191988,-0.034952104,False,False,True,0.009345771069191988
31.790000915527344,32.05329,-0.00031441263437359535,-0.01244992,False,False,True,0.00031441263437359535
31.479999542236328,31.982939,-0.009751537098559804,-0.0021948814,False,False,True,0.009751537098559804
30.649999618530273,31.666872,-0.02636594459261199,-0.009882331,False,False,True,0.02636594459261199
31.1200008392334,30.860392,0.015334460898948077,-0.025467634,True,False,False,0.015334460898948077
31.059999465942383,31.160461,-0.0019280646424459924,0.009723425,False,True,False,0.0019280646424459924
30.780000686645508,31.16065,-0.00901477089862468,6.0796738e-06,False,True,False,0.00901477089862468
31.270000457763672,30.90847,0.015919420408939677,-0.00809288,True,False,False,0.015919420408939677
31.09000015258789,31.334156,-0.00575632563289874,0.013772488,False,True,False,0.00575632563289874
31.170000076293945,31.249287,0.0025731721876300906,-0.0027085543,True,False,False,0.0025731721876300906
31.940000534057617,31.330317,0.024703254920723783,0.0025930405,True,True,True,0.024703254920723783
29.940000534057617,32.077866,-0.06261740659231985,0.023860216,False,True,False,0.06261740659231985
29.290000915527344,30.373888,-0.021710073711951994,-0.053120017,False,False,True,0.021710073711951994
29.670000076293945,29.582296,0.012973682106139917,-0.026061594,True,False,False,0.012973682106139917
29.270000457763672,29.809774,-0.013481618385632221,0.0076897144,False,True,False,0.013481618385632221
29.309999465942383,29.509636,0.0013665530424717964,-0.010068476,True,False,False,0.0013665530424717964
29.799999237060547,29.468029,0.016717836234952266,-0.0014099479,True,False,False,0.016717836234952266
32.18000030517578,29.88504,0.07986580969959767,0.014151335,True,True,True,0.07986580969959767
31.3700008392334,32.14301,-0.02517089677628448,0.075555205,False,True,False,0.02517089677628448
32.54999923706055,31.623365,0.03761550418421944,-0.016166627,True,False,False,0.03761550418421944
33.65999984741211,32.690845,0.03410140203898204,0.033756018,True,True,True,0.03410140203898204
33.630001068115234,33.876034,-0.0008912293354981227,0.036254406,False,True,False,0.0008912293354981227
